13.99	14.1
13.98	14.5
13.9	15.09
13.21	15.95
13.7	16.18
13.85	15.2
14.1	14.1
13.9	14.79
14.5	14.8
14.1	15.88
14.6	14.78
14.36	14.5
14.41	15.5
14	16.5
14	14.89
14	15.67
13.84	16.92
14.61	17.84
15.65	18.9
17.01	17.01
15.31	15.31
13.78	16.8
13.2	15.9
12.58	14.49
13.8	13.99
13.52	15.33
12.68	13.8
13.1	13.9
12.78	14.85
12.96	14.18
13	14.68
13.1	14.5
12.96	14.9
13	14.78
12.2	14.8
11.56	14
12.59	12.59
12.21	13.79
13	13.2
12.5	14.4
11.58	14.15
13.5	14
12.6	15.38
13.28	15.5
13.39	15.7
14.12	14.12
12.71	15.5
11.58	14.14
11.88	14.29
10.69	13
12.22	12.22
12	12
12.31	12.7
12.1	12.74
12.04	12.04
11.5	12.7
10.49	12.1
12.5	12.6
11.7	12.8
11	12.7
11	12.19
12.03	12.17
12.33	12.79
12.51	12.52
11.55	12.5
11.25	12.8
12.98	12.98
11.7	13
11.05	12.51
12.16	12.16
12.51	12.51
11.3	12.8
11	12.8
12.6	12.6
11.35	12.79
11	12.5
11.3	12.68
12.25	12.55
12.21	12.5
12.5	12.8
12.98	12.98
13	14.28
13	13
13.18	13.18
13	13
12.81	12.81
12.8	13.18
12.5	12.9
13	13
12.5	13.2
13.5	13.5
12.5	13.4
13.5	13.5
13.5	13.5
13.3	13.6
13.57	13.57
13.65	13.65
13.7	13.7
13.7	13.7
12.8	14.5
14.42	14.42
13.6	15.6
13.92	13.92
13.85	13.85
13.5	13.9
13.3	13.5
13.5	13.5
13.5	13.5
13.78	13.78
13.89	13.9
13.3	15.2
14	14
13.5	15.2
13.43	15.88
13.8	15.8
13.6	13.8
13.5	13.5
14.3	14.3
13.1	13.8
14.4	14.4
12.96	15.5
13	14.78
13.38	14.23
13.3	14
13.6	13.6
13.55	13.55
13.49	13.49
13.35	13.6
13.45	13.45
14	14
13.78	14.3
13.56	13.56
13.5	13.5
13.2	13.69
13.4	14.2
14.2	14.5
13.31	15.01
14.2	14.5
13.5	13.5
14.2	14.2
13.1	13.2
13	13.2
13.12	14.2
13.1	13.39
14.69	14.69
13.33	13.33
13.96	13.96
13.7	13.7
13.3	13.4
13.31	13.31
13	13.3
13	13.25
13.2	13.2
12.9	14.5
12.8	12.8
12.9	12.91
12.9	13.1
12.9	14
14	14
12.61	15
12.7	13
13.9	13.9
12.8	12.81
12.7	12.71
12.9	12.9
13	13
12.7	12.7
12.7	12.7
12.7	12.7
12.95	12.95
13.67	13.67
13.05	14.5
12.86	14.3
13.2	13.2
12.81	12.81
13	13
12.85	12.85
13.39	13.39
12.4	13
12.9	13.09
13	13.2
12.96	13.1
13.1	13.67
14.41	14.41
13.11	15.85
13.3	13.55
13.39	13.4
13.49	14.69
13.3	15
13.21	13.99
12.8	13.39
13	14.15
14.6	14.6
13.3	15.8
16.1	16.1
14.49	14.49
13.2	13.79
13.4	14
13.5	14.8
13.2	13.2
13.3	14.5
13.79	13.8
13.75	15.1
13.5	14.8
13.5	15.01
13.8	15.01
13.55	13.9
14	14.88
13.5	13.8
13.64	13.79
13.5	13.76
13.3	13.7
13.5	14
13.71	14.39
14.4	14.5
14.8	15.8
14.25	14.43
14.5	14.5
14.25	14.4
14.4	14.8
14.6	15.6
14.6	14.6
14.5	15
14.6	16.24
14.61	16.7
14.71	14.72
14.85	15
14.8	15
14.81	15
14.98	15.2
14.8	14.99
15	15.01
14.61	15.3
15.1	15.3
15.21	15.25
15.01	15.48
15.1	16.2
14.8	15.42
15	16.6
15.01	16.8
14.72	15.8
14.96	15.07
14.8	15.28
14.55	14.99
14.39	15.05
14.7	15.8
14.6	15.1
14.5	16.09
14.3	14.88
14.02	14.49
13.9	14.61
13.15	14.5
14	14.49
14	14
14.5	14.5
14.1	15.95
14.35	14.49
13	13
11.8	12.1
13.3	13.3
14.2	14.2
14.2	15.6
13.45	14.58
13	14.54
12.6	14.15
12.5	14
12	14.1
13.2	13.2
13	13
13	13
13.68	13.68
13.51	13.51
13.02	13.02
13.02	13.83
13.8	14.49
13.89	14
13.61	13.8
14.66	14.97
14.5	14.6
13.88	13.88
14	14.3
14	14.5
14.82	14.82
13.84	14.65
14.66	14.66
14.8	14.8
14.8	14.8
14.6	14.8
13.8	13.8
13.2	14.8
13.2	14.88
13	15.5
12	12
13.2	13.2
14.02	14.52
13.03	15
14.6	14.8
16	16
14.62	16.3
14.9	14.9
14	16
14.6	14.6
14.5	14.6
13.88	14.9
13.8	15
13.88	13.88
13.68	14.6
13.9	15
13.8	15.36
13.9	15.56
13.88	15.88
14.22	15.2
13.88	16
13.9	15.96
15.8	16.3
14.48	15.5
